"geometry","time","cdc42_ratio","cdc42_contrast","rac_ratio","rac_contrast","rho_front_back_ratio","rho_separation","cdc42_boundary_mean","rac_boundary_mean","rho_boundary_mean","cdc42_peaks","rac_peaks","cdc42_dominance","cdc42_peak_position"
"AR 1.29 - 0.5x",125,68.6058444138934,0.971266780586591,191.693940758252,0.989620846446287,0.0310271052090117,0.367161186633495,1.58790472016787,4.4935031493086,1.3283470356352,1,1,Inf,0.69375
"AR 1.29 - 0.5x",126,68.8630423631534,0.971372560765335,192.954345383256,0.98968829496422,0.0308294403911622,0.36732794232843,1.59034646175729,4.50011099644693,1.32797307710552,1,1,Inf,0.69375
"AR 1.29 - 0.5x",127,69.118878766319,0.971477011110442,194.214750258676,0.989754872532174,0.0306344012435007,0.367492871945946,1.59277720751046,4.50676437204374,1.32761948304252,1,1,Inf,0.69375
"AR 1.29 - 0.5x",128,69.3723278788205,0.971579737941255,195.472230248489,0.989820444357605,0.0304419310819597,0.367655750926447,1.5951957942779,4.51345992933155,1.32728785781611,1,1,Inf,0.69375
"AR 1.29 - 0.5x",129,69.6225300277934,0.971680425507088,196.724132768053,0.989884896840862,0.030251972778638,0.367816358075651,1.59760144506713,4.52019460937428,1.32697977549105,1,1,Inf,0.69375
"AR 1.29 - 0.5x",130,69.868796305295,0.971778834913687,197.968200360164,0.989948142485183,0.0300644682704214,0.367969815593406,1.5999941449167,4.5269659655674,1.32669599221001,1,1,Inf,0.69375
"AR 1.29 - 0.5x",131,70.1105985660977,0.971874797282982,199.202606026961,0.990010120049433,0.0298793590992137,0.368120409447366,1.60237510098777,4.53377265838049,1.32643539724186,1,1,Inf,0.69375
"AR 1.29 - 0.5x",132,70.3475602553824,0.971968207562513,200.425948410928,0.990070792686949,0.0296965880973477,0.368268384634491,1.6047471399304,4.54061504074613,1.32619389220692,1,1,Inf,0.69375
"AR 1.29 - 0.5x",133,70.5794585572319,0.972059023072927,201.63724551478,0.990130146139131,0.0295161019898572,0.368413849530548,1.60711479138117,4.54749563380418,1.32596369524602,1,1,Inf,0.70625
"AR 1.29 - 0.5x",134,70.8062474106623,0.972147270298614,202.835957114607,0.99018818844177,0.0293378542345974,0.368557133518525,1.60948381539297,4.5544191955843,1.32573379195893,1,1,Inf,0.70625
"AR 1.29 - 0.5x",135,71.0281145897382,0.9722330646666,204.022066373024,0.990244952480573,0.0291618070467611,0.368698859575594,1.61186016646916,4.56139214795446,1.32549196926465,1,1,Inf,0.70625
"AR 1.29 - 0.5x",136,71.2455817639488,0.972316646206343,205.196252365161,0.990300502666469,0.028987931650298,0.368840007412533,1.6142487473136,4.56842141194054,1.32522794750453,1,1,Inf,0.70625
"AR 1.29 - 0.5x",137,71.4596201504724,0.972398420032471,206.360150461974,0.990354945270129,0.0288162066358255,0.368981842252082,1.61665248256843,4.57551304389718,1.32493622770413,1,1,Inf,0.70625
"AR 1.29 - 0.5x",138,71.671678916946,0.972478962509099,207.516579719533,0.990408436572813,0.0286466153923361,0.369125542960912,1.61907207309941,4.58267118967045,1.32461717145068,1,1,Inf,0.70625
"AR 1.29 - 0.5x",139,71.883495691352,0.972558945190148,208.669470125005,0.990461176828426,0.0284791432917071,0.369271699292409,1.62150642654457,4.5898976896306,1.32427568824868,1,1,Inf,0.70625
"AR 1.29 - 0.5x",140,72.0967019557059,0.972638984434456,209.823283083021,0.990513381772864,0.028313773841297,0.369420153202344,1.62395344315435,4.59719232876753,1.32391840099412,1,1,Inf,0.70625
"AR 1.29 - 0.5x",141,72.3124341921011,0.9727194981037,210.982077650873,0.990565240127074,0.0281504840947116,0.369570276014174,1.62641075403723,4.60455345995278,1.32355112857083,1,1,Inf,0.70625
"AR 1.29 - 0.5x",142,72.5311523024583,0.972800643844485,212.148668325869,0.99061687780783,0.0279892424102363,0.369721337595271,1.62887618238447,4.61197867368711,1.32317782827249,1,1,Inf,0.70625
"AR 1.29 - 0.5x",143,72.7526872893206,0.972882344040505,213.324223837085,0.990668343670194,0.0278300104410444,0.369872719910183,1.63134792463908,4.61946530811747,1.32280076095446,1,1,Inf,0.70625
"AR 1.29 - 0.5x",144,72.9764168151342,0.972964356938266,214.50834451777,0.990719616892444,0.0276727474337834,0.370023970155485,1.63382455709334,4.62701074887595,1.32242109868744,1,1,Inf,0.70625
"AR 1.29 - 0.5x",145,73.2014641179343,0.973046353953053,215.699441361424,0.990770626876401,0.0275174138233343,0.370174153719346,1.63630497064325,4.63461256335929,1.32203945822801,1,1,Inf,0.70625
"AR 1.29 - 0.5x",146,73.4268631386957,0.973127982079898,216.895207506792,0.990821275865199,0.0273639728156198,0.370320130739915,1.63878829362037,4.64226853750499,1.32165622353267,1,1,Inf,0.70625
"AR 1.29 - 0.5x",147,73.6516732958996,0.973208905953487,218.093041213819,0.990871458130666,0.0272123903697343,0.370465340827088,1.6412738253442,4.64997666652486,1.32127170549806,1,1,Inf,0.70625
"AR 1.29 - 0.5x",148,73.8750477063651,0.973288831710087,219.290359808351,0.990921073433536,0.0270626345028429,0.370609693564234,1.64376098381413,4.6577351269474,1.32088621192291,1,1,Inf,0.70625
"AR 1.29 - 0.5x",149,74.0962656606624,0.973367517247297,220.484798351185,0.990970034896802,0.0269146745594552,0.370753130782579,1.64624926507586,4.6655422416041,1.32050007501436,1,1,Inf,0.70625
"AR 1.29 - 0.5x",150,74.3147412402177,0.973444773664946,221.674313413672,0.991018272519451,0.0267684806880986,0.370895617099891,1.64873821195578,4.6733964430026,1.32011366221341,1,1,Inf,0.70625
"AR 1.29 - 0.5x",151,74.5300177572817,0.973520461673568,222.857219962223,0.991065733772905,0.026624023524373,0.371037129586164,1.65122739163148,4.68129623933513,1.31972737911804,1,1,Inf,0.71875
"AR 1.29 - 0.5x",152,74.7417542602672,0.973594485372922,224.032185827647,0.991112382468116,0.0264812739727081,0.371177646259641,1.65371638185014,4.68924018686399,1.31934166198163,1,1,Inf,0.71875
"AR 1.29 - 0.5x",153,74.949708729054,0.973666785120469,225.19820183621,0.991158196732933,0.0263402029919106,0.371317139428973,1.65620476344646,4.69722687032108,1.31895696292025,1,1,Inf,0.71875
"AR 1.29 - 0.5x",154,75.1537229516645,0.97373733124946,226.354542446792,0.991203166743554,0.0262007813929241,0.371455576575499,1.65869211452578,4.70525488970201,1.31857374273258,1,1,Inf,0.71875
"AR 1.29 - 0.5x",155,75.3537142785695,0.97380612038462,227.500731330756,0.991247292783912,0.0260629797288977,0.371592928977261,1.66117800132212,4.71332284943292,1.31819248543584,1,1,Inf,0.71875
"AR 1.29 - 0.5x",156,75.5496797907031,0.973873176145632,228.636526791883,0.991290584176913,0.0259267683386731,0.371729193870143,1.66366196096112,4.72142934512972,1.31781374490807,1,1,Inf,0.71875
"AR 1.29 - 0.5x",157,75.7417203478572,0.973938556616475,229.761944571261,0.991333059687481,0.0257921175847782,0.371864442106744,1.66614347072666,4.72957294319002,1.31743824291805,1,1,Inf,0.71875
"AR 1.29 - 0.5x",158,75.9300937917114,0.974002371485273,230.877340619421,0.99137475013877,0.0256589983662666,0.371998902171618,1.66862189839188,4.73775214871354,1.31706705220202,1,1,Inf,0.71875
"AR 1.29 - 0.5x",159,76.1153009979894,0.974064809783312,231.983575600121,0.991415703897374,0.0255273830213588,0.372133055280274,1.67109643448981,4.74596535934588,1.31670189096534,1,1,Inf,0.71875
"AR 1.29 - 0.5x",160,76.2981809748216,0.974126169920461,233.082251731348,0.991455994697559,0.0253972465637736,0.372267624818222,1.67356603008065,4.75421081177218,1.3163454590585,1,1,Inf,0.71875
"AR 1.29 - 0.5x",161,76.4799401395666,0.974186866995543,234.175922616218,0.991495728058591,0.0252685675251163,0.372403327978097,1.67602939701962,4.76248654745695,1.31600152873863,1,1,Inf,0.71875
"AR 1.29 - 0.5x",162,76.6620236791139,0.974247387522843,235.268071085655,0.991535039030835,0.0251413268803906,0.372538648981308,1.6784851235426,4.77079043995778,1.31567442446992,1,1,Inf,0.71875
"AR 1.29 - 0.5x",163,76.8458295601386,0.974308193370142,236.362688055847,0.991574075873587,0.0250155043300008,0.372673618706921,1.68093188059904,4.77912030608034,1.31536797129996,1,1,Inf,0.71875
"AR 1.29 - 0.5x",164,77.032401384056,0.974369621278775,237.463536254155,0.991612973490973,0.0248910740426972,0.372809319427941,1.6833686207456,4.78747407075523,1.31508457265802,1,1,Inf,0.71875
"AR 1.29 - 0.5x",165,77.2222502297645,0.974431827336527,238.573417987234,0.991651828417347,0.0247680032938707,0.372945060647823,1.68579469419356,4.79584992537898,1.31482495093517,1,1,Inf,0.71875
